Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
6453125.0,2281250.0,6257813.0,804688.0,203125.0,3296875.0,,963107.4,-225035.6,574347.6,112429.5,-174627.3,2286774.9,,0.059893638,-0.013285037,0.039900048,0.105512687,-0.424562954,0.21495603
7835938.0,3390625.0,7140625.0,382813.0,234375.0,1242188.0,,2345920.4,884339.4,1457159.6,-309445.5,-143377.3,232087.9,,0.145887892,0.052207212,0.101229181,-0.290407927,-0.348586328,0.021816178
6765625.0,2390625.0,4867188.0,1132813.0,406250.0,2367188.0,,1275607.4,-115660.6,-816277.4,440554.5,28497.7,1357087.9,,0.079327361,-0.006828055,-0.05670696,0.413450942,0.069285115,0.127565781
5570313.0,1328125.0,5773438.0,773438.0,265625.0,2312500.0,,80295.4,-1178160.6,89972.6,81179.5,-112127.3,1302399.9,,0.004993403,-0.069553026,0.006250416,0.076185234,-0.272609702,0.122425128
8273438.0,2687500.0,4945313.0,1039063.0,273438.0,4390625.0,,2783420.4,181214.4,-738152.4,346804.5,-104314.3,3380524.9,,0.173095103,0.01069804,-0.0512796,0.325468584,-0.25361433,0.317768143
4984375.0,2484375.0,3804688.0,796875.0,351563.0,4343750.0,,-505642.6,-21910.6,-1878777.4,104616.5,-26189.3,3333649.9,,-0.031444858,-0.001293499,-0.130519057,0.098180355,-0.063672765,0.31336191
6210938.0,2648438.0,4226563.0,632813.0,320313.0,4078125.0,,720920.4,142152.4,-1456902.4,-59445.5,-57439.3,3068024.9,,0.044832534,0.008392004,-0.101211312,-0.055788304,-0.139649391,0.288393254
6921875.0,2789063.0,6875000.0,718750.0,195313.0,2171875.0,,1431857.4,282777.4,1191534.6,26491.5,-182439.3,1161774.9,,0.089044222,0.016693838,0.082776157,0.024861722,-0.443555895,0.109206428
6046875.0,2023438.0,5953125.0,945313.0,359375.0,3812500.0,,556857.4,-482847.6,269659.6,253054.5,-18377.3,2802399.9,,0.034629799,-0.028505038,0.018733309,0.237486225,-0.044679824,0.263424598
8328125.0,1664063.0,4687500.0,117188.0,31250.0,882813.0,,2838107.4,-842222.6,-995965.4,-575070.5,-346502.3,-127287.1,,0.176495974,-0.049720837,-0.069189923,-0.539691277,-0.842434398,-0.011964945
